Genotype,Animal,Day,State,Total seconds,Mean transient amplitude (dF/F*s),Standardized,Sleep phase
DAT,0,0,NREM,13070,0.01170801111,False,following
DAT,0,0,REM,3280,0.011250625,False,following
DAT,0,0,WAKE,7650,0.01056571111,False,following
DAT,0,1,NREM,17310,0.009746966667,False,following
DAT,0,1,REM,1380,0.01050120833,False,following
DAT,0,1,WAKE,18840,0.009858536111,False,following
DAT,0,2,NREM,14015,0.01118149444,False,following
DAT,0,2,REM,3130,0.01096201111,False,following
DAT,0,2,WAKE,11995,0.01298198333,False,following
DAT,0,3,NREM,18080,0.008716611111,False,following
DAT,0,4,NREM,13820,0.01027340278,False,following
DAT,0,3,REM,1975,0.01070328333,False,following
DAT,0,4,REM,1935,0.01126230556,False,following
DAT,0,3,WAKE,10475,0.01055341944,False,following
DAT,0,4,WAKE,12895,0.01002390833,False,following
DAT,1,0,NREM,20360,0.01718364167,False,following
DAT,1,0,REM,2780,0.01931434722,False,following
DAT,1,0,WAKE,11610,0.01907618611,False,following
DAT,1,1,NREM,15045,0.01677481667,False,following
DAT,1,1,REM,1855,0.02201628333,False,following
DAT,1,1,WAKE,5060,0.01698955278,False,following
DAT,1,2,NREM,22200,0.01724731111,False,following
DAT,1,2,REM,3190,0.01934027778,False,following
DAT,1,2,WAKE,9150,0.01670400278,False,following
DAT,1,3,NREM,21525,0.01317537222,False,following
DAT,1,4,NREM,22650,0.01474664167,False,following
DAT,1,3,REM,2915,0.01649283056,False,following
DAT,1,4,REM,3170,0.01712881111,False,following
DAT,1,3,WAKE,5700,0.01333677778,False,following
DAT,1,4,WAKE,4060,0.01629894167,False,following
VGAT,2,0,NREM,16585,0.02767557652,False,following
VGAT,2,0,REM,2210,0.0425235405,False,following
VGAT,2,0,WAKE,14125,0.02633965475,False,following
VGAT,2,1,NREM,15940,0.01491315,False,following
VGAT,2,1,REM,2130,0.01970238056,False,following
VGAT,2,1,WAKE,11200,0.01580544722,False,following
VGAT,2,2,NREM,15880,0.01478883333,False,following
VGAT,2,2,REM,1870,0.03200980556,False,following
VGAT,2,2,WAKE,11850,0.0134612,False,following
VGAT,2,3,NREM,13795,0.01078240833,False,following
VGAT,2,3,REM,2480,0.01909448889,False,following
VGAT,2,3,WAKE,13235,0.008624430556,False,following
VGAT,2,4,NREM,14890,0.02938658333,False,following
VGAT,2,4,REM,1650,0.02932169444,False,following
VGAT,2,4,WAKE,15950,0.01755063056,False,following
VGAT,3,0,NREM,17165,0.01267557652,False,following
VGAT,3,0,REM,1360,0.01073800505,False,following
VGAT,3,0,WAKE,7535,0.01462728821,False,following
VGAT,3,1,NREM,17735,0.008353061111,False,following
VGAT,3,1,REM,2435,0.01015180833,False,following
VGAT,3,1,WAKE,12200,0.006433558333,False,following
VGAT,3,2,NREM,23185,0.008484408333,False,following
VGAT,3,2,REM,2490,0.01377306944,False,following
VGAT,3,2,WAKE,3995,0.006212697222,False,following
VGAT,3,3,NREM,21650,0.008921991667,False,following
VGAT,3,3,REM,2630,0.01509740833,False,following
VGAT,3,3,WAKE,4690,0.006568577778,False,following
VGAT,3,4,NREM,19755,0.006678122222,False,following
VGAT,3,4,REM,2920,0.01119296667,False,following
VGAT,3,4,WAKE,6455,0.007057444444,False,following
VGAT,4,0,NREM,16035,0.005532118056,False,following
VGAT,4,0,REM,1930,0.01209459459,False,following
VGAT,4,0,WAKE,10755,0.005614063867,False,following
VGAT,4,1,NREM,16410,0.003661561111,False,following
VGAT,4,1,REM,1440,0.008303302778,False,following
VGAT,4,1,WAKE,12610,0.004752216667,False,following
VGAT,4,2,NREM,21200,0.003495766667,False,following
VGAT,4,2,REM,2450,0.007812730556,False,following
VGAT,4,2,WAKE,9550,0.002907786111,False,following
VGAT,4,3,NREM,22585,0.004158013889,False,following
VGAT,4,3,REM,2485,0.008299925,False,following
VGAT,4,3,WAKE,11195,0.0040464,False,following
VGAT,4,4,NREM,19845,0.003507505556,False,following
VGAT,4,4,REM,2170,0.006946797222,False,following
VGAT,4,4,WAKE,6955,0.002710006389,False,following
VGAT,5,0,NREM,15450,0.01661306043,False,following
VGAT,5,0,REM,1975,0.01780606996,False,following
VGAT,5,0,WAKE,12835,0.01421069889,False,following
VGAT,5,1,NREM,16395,0.01497256389,False,following
VGAT,5,1,REM,1550,0.02076252778,False,following
VGAT,5,1,WAKE,12485,0.01686134722,False,following
VGAT,5,2,NREM,6135,0.01343843889,False,following
VGAT,5,2,REM,1440,0.012,False,following
VGAT,5,2,WAKE,7855,0.01540027222,False,following
VGAT,5,3,NREM,22735,0.007244036111,False,following
VGAT,5,3,REM,3020,0.01411401667,False,following
VGAT,5,3,WAKE,4315,0.007039727778,False,following
VGAT,5,4,NREM,23600,0.01109243611,False,following
VGAT,5,4,REM,2895,0.01550108889,False,following
VGAT,5,4,WAKE,6455,0.007571911111,False,following
DAT,0,0,NREM,13070,1.044336441164145,True,following
DAT,0,0,REM,3280,0.5769748772923537,True,following
DAT,0,0,WAKE,7650,-0.1228767792170935,True,following
DAT,0,1,NREM,17310,-0.9594777929466528,True,following
DAT,0,1,REM,1380,-0.1887863455020836,True,following
DAT,0,1,WAKE,18840,-0.8454750528368873,True,following
DAT,0,2,NREM,14015,0.5063366005136103,True,following
DAT,0,2,REM,3130,0.2820664049176204,True,following
DAT,0,2,WAKE,11995,2.346093613170131,True,following
DAT,0,3,NREM,18080,-2.012305094580604,True,following
DAT,0,4,NREM,13820,-0.4215602662201255,True,following
DAT,0,3,REM,1975,0.01769584963802,True,following
DAT,0,4,REM,1935,0.5889101868025137,True,following
DAT,0,3,WAKE,10475,-0.1354365268530601,True,following
DAT,0,4,WAKE,12895,-0.6764961153418504,True,following
DAT,1,0,NREM,20360,0.0557860508920466,True,following
DAT,1,0,REM,2780,0.9801568758715684,True,following
DAT,1,0,WAKE,11610,0.8768346773966369,True,following
DAT,1,1,NREM,15045,-0.1215758105450022,True,following
DAT,1,1,REM,1855,2.15234648745007,True,following
DAT,1,1,WAKE,5060,-0.0284161549775812,True,following
DAT,1,2,NREM,22200,0.0834079683262903,True,following
DAT,1,2,REM,3190,0.9914064139127972,True,following
DAT,1,2,WAKE,9150,-0.1522972276452248,True,following
DAT,1,3,NREM,21525,-1.6831343448598262,True,following
DAT,1,4,NREM,22650,-1.0014654780557677,True,following
DAT,1,3,REM,2915,-0.2439107493794489,True,following
DAT,1,4,REM,3170,0.0319987331271452,True,following
DAT,1,3,WAKE,5700,-1.613111252906327,True,following
DAT,1,4,WAKE,4060,-0.3280261886073911,True,following
VGAT,2,0,NREM,16585,0.6630647991171016,True,following
VGAT,2,0,REM,2210,2.2483720752638017,True,following
VGAT,2,0,WAKE,14125,0.5204293168923002,True,following
VGAT,2,1,NREM,15940,-0.6995710242655744,True,following
VGAT,2,1,REM,2130,-0.1882280506337016,True,following
VGAT,2,1,WAKE,11200,-0.6043010413065051,True,following
VGAT,2,2,NREM,15880,-0.712844232751451,True,following
VGAT,2,2,REM,1870,1.1258275619345208,True,following
VGAT,2,2,WAKE,11850,-0.8545947637292258,True,following
VGAT,2,3,NREM,13795,-1.1406075754152205,True,following
VGAT,2,3,REM,2480,-0.2531322414613499,True,following
VGAT,2,3,WAKE,13235,-1.3710134325073562,True,following
VGAT,2,4,NREM,14890,0.8457478625379998,True,following
VGAT,2,4,REM,1650,0.8388197187469288,True,following
VGAT,2,4,WAKE,15950,-0.4179689724222702,True,following
VGAT,3,0,NREM,17165,0.9271998436503508,True,following
VGAT,3,0,REM,1360,0.302942312057151,True,following
VGAT,3,0,WAKE,7535,1.5560131498149965,True,following
VGAT,3,1,NREM,17735,-0.4654521649467367,True,following
VGAT,3,1,REM,2435,0.1140781988509264,True,following
VGAT,3,1,WAKE,12200,-1.0838882250527258,True,following
VGAT,3,2,NREM,23185,-0.4231339878591352,True,following
VGAT,3,2,REM,2490,1.2807962047591428,True,following
VGAT,3,2,WAKE,3995,-1.1550464837866818,True,following
VGAT,3,3,NREM,21650,-0.2821509603018795,True,following
VGAT,3,3,REM,2630,1.7074790596962448,True,following
VGAT,3,3,WAKE,4690,-1.0403869107746082,True,following
VGAT,3,4,NREM,19755,-1.0050932737294729,True,following
VGAT,3,4,REM,2920,0.4495243722641188,True,following
VGAT,3,4,WAKE,6455,-0.8828811346416858,True,following
VGAT,4,0,NREM,16035,-0.0218222196274193,True,following
VGAT,4,0,REM,1930,2.473036208317188,True,following
VGAT,4,0,WAKE,10755,0.0093311408682553,True,following
VGAT,4,1,NREM,16410,-0.7329523448179845,True,following
VGAT,4,1,REM,1440,1.0316998041471852,True,following
VGAT,4,1,WAKE,12610,-0.3183175355697339,True,following
VGAT,4,2,NREM,21200,-0.7959824621489595,True,following
VGAT,4,2,REM,2450,0.8451988336322921,True,following
VGAT,4,2,WAKE,9550,-1.0195151845905626,True,following
VGAT,4,3,NREM,22585,-0.5442157617837033,True,following
VGAT,4,3,REM,2485,1.0304156733975565,True,following
VGAT,4,3,WAKE,11195,-0.5866480432866732,True,following
VGAT,4,4,NREM,19845,-0.7915196856339316,True,following
VGAT,4,4,REM,2170,0.5159967305580639,True,following
VGAT,4,4,WAKE,6955,-1.09470515346158,True,following
VGAT,5,0,NREM,15450,0.7383505327441703,True,following
VGAT,5,0,REM,1975,1.0348182709885567,True,following
VGAT,5,0,WAKE,12835,0.1413538832630041,True,following
VGAT,5,1,NREM,16395,0.3306804458073616,True,following
VGAT,5,1,REM,1550,1.769510107951778,True,following
VGAT,5,1,WAKE,12485,0.8000508136021603,True,following
VGAT,5,2,NREM,6135,-0.0505558792152635,True,following
VGAT,5,2,REM,1440,-0.4080138152981927,True,following
VGAT,5,2,WAKE,7855,0.4369677117803196,True,following
VGAT,5,3,NREM,22735,-1.589890256254876,True,following
VGAT,5,3,REM,3020,0.1173279569220418,True,following
VGAT,5,3,WAKE,4315,-1.6406617110218724,True,following
VGAT,5,4,NREM,23600,-0.6335471467717285,True,following
VGAT,5,4,REM,2895,0.4620210658237116,True,following
VGAT,5,4,WAKE,6455,-1.5084119803211724,True,following
DAT,0,1,NREM,13070,0.01170801111,False,previous
DAT,0,1,REM,3280,0.011250625,False,previous
DAT,0,1,WAKE,7650,0.01056571111,False,previous
DAT,0,2,NREM,17310,0.009746966667,False,previous
DAT,0,2,REM,1380,0.01050120833,False,previous
DAT,0,2,WAKE,18840,0.009858536111,False,previous
DAT,0,3,NREM,14015,0.01118149444,False,previous
DAT,0,3,REM,3130,0.01096201111,False,previous
DAT,0,3,WAKE,11995,0.01298198333,False,previous
DAT,0,4,NREM,18080,0.008716611111,False,previous
DAT,0,4,REM,1975,0.01070328333,False,previous
DAT,0,4,WAKE,10475,0.01055341944,False,previous
DAT,1,1,NREM,20360,0.01718364167,False,previous
DAT,1,1,REM,2780,0.01931434722,False,previous
DAT,1,1,WAKE,11610,0.01907618611,False,previous
DAT,1,2,NREM,15045,0.01677481667,False,previous
DAT,1,2,REM,1855,0.02201628333,False,previous
DAT,1,2,WAKE,5060,0.01698955278,False,previous
DAT,1,3,NREM,22200,0.01724731111,False,previous
DAT,1,3,REM,3190,0.01934027778,False,previous
DAT,1,3,WAKE,9150,0.01670400278,False,previous
DAT,1,4,NREM,21525,0.01317537222,False,previous
DAT,1,4,REM,2915,0.01649283056,False,previous
DAT,1,4,WAKE,5700,0.01333677778,False,previous
VGAT,2,1,NREM,16585,0.02767557652,False,previous
VGAT,2,1,REM,2210,0.0425235405,False,previous
VGAT,2,1,WAKE,14125,0.02633965475,False,previous
VGAT,2,2,NREM,15940,0.01491315,False,previous
VGAT,2,2,REM,2130,0.01970238056,False,previous
VGAT,2,2,WAKE,11200,0.01580544722,False,previous
VGAT,2,3,NREM,15880,0.01478883333,False,previous
VGAT,2,3,REM,1870,0.03200980556,False,previous
VGAT,2,3,WAKE,11850,0.0134612,False,previous
VGAT,2,4,NREM,13795,0.01078240833,False,previous
VGAT,2,4,REM,2480,0.01909448889,False,previous
VGAT,2,4,WAKE,13235,0.008624430556,False,previous
VGAT,3,1,NREM,17165,0.01267557652,False,previous
VGAT,3,1,REM,1360,0.01073800505,False,previous
VGAT,3,1,WAKE,7535,0.01462728821,False,previous
VGAT,3,2,NREM,17735,0.008353061111,False,previous
VGAT,3,2,REM,2435,0.01015180833,False,previous
VGAT,3,2,WAKE,12200,0.006433558333,False,previous
VGAT,3,3,NREM,23185,0.008484408333,False,previous
VGAT,3,3,REM,2490,0.01377306944,False,previous
VGAT,3,3,WAKE,3995,0.006212697222,False,previous
VGAT,3,4,NREM,21650,0.008921991667,False,previous
VGAT,3,4,REM,2630,0.01509740833,False,previous
VGAT,3,4,WAKE,4690,0.006568577778,False,previous
VGAT,4,1,NREM,16035,0.005532118056,False,previous
VGAT,4,1,REM,1930,0.01209459459,False,previous
VGAT,4,1,WAKE,10755,0.005614063867,False,previous
VGAT,4,2,NREM,16410,0.003661561111,False,previous
VGAT,4,2,REM,1440,0.008303302778,False,previous
VGAT,4,2,WAKE,12610,0.004752216667,False,previous
VGAT,4,3,NREM,21200,0.003495766667,False,previous
VGAT,4,3,REM,2450,0.007812730556,False,previous
VGAT,4,3,WAKE,9550,0.002907786111,False,previous
VGAT,4,4,NREM,22585,0.004158013889,False,previous
VGAT,4,4,REM,2485,0.008299925,False,previous
VGAT,4,4,WAKE,11195,0.0040464,False,previous
VGAT,5,1,NREM,15450,0.01661306043,False,previous
VGAT,5,1,REM,1975,0.01780606996,False,previous
VGAT,5,1,WAKE,12835,0.01421069889,False,previous
VGAT,5,2,NREM,16395,0.01497256389,False,previous
VGAT,5,2,REM,1550,0.02076252778,False,previous
VGAT,5,2,WAKE,12485,0.01686134722,False,previous
VGAT,5,3,NREM,6135,0.01343843889,False,previous
VGAT,5,3,REM,1440,0.012,False,previous
VGAT,5,3,WAKE,7855,0.01540027222,False,previous
VGAT,5,4,NREM,22735,0.007244036111,False,previous
VGAT,5,4,REM,3020,0.01411401667,False,previous
VGAT,5,4,WAKE,4315,0.007039727778,False,previous
DAT,0,1,NREM,13070,0.9217548789215434,True,previous
DAT,0,1,REM,3280,0.491782289302872,True,previous
DAT,0,1,WAKE,7650,-0.1520811610959566,True,previous
DAT,0,2,NREM,17310,-0.9217540057580031,True,previous
DAT,0,2,REM,1380,-0.2127179551477132,True,previous
DAT,0,2,WAKE,18840,-0.8168714968444822,True,previous
DAT,0,3,NREM,14015,0.4267950820940894,True,previous
DAT,0,3,REM,3130,0.2204665257279375,True,previous
DAT,0,3,WAKE,11995,2.1193713402864263,True,previous
DAT,0,4,NREM,18080,-1.8903550125557536,True,previous
DAT,0,4,REM,1975,-0.0227543573305567,True,previous
DAT,0,4,WAKE,10475,-0.1636361276003801,True,previous
DAT,1,1,NREM,20360,-0.0486175257380442,True,previous
DAT,1,1,REM,2780,0.8100380028711174,True,previous
DAT,1,1,WAKE,11610,0.714061177823098,True,previous
DAT,1,2,NREM,15045,-0.2133703919816407,True,previous
DAT,1,2,REM,1855,1.898894404826907,True,previous
DAT,1,2,WAKE,5060,-0.1268336351578158,True,previous
DAT,1,3,NREM,22200,-0.0229593034372435,True,previous
DAT,1,3,REM,3190,0.8204877896583781,True,previous
DAT,1,3,WAKE,9150,-0.2419077645673653,True,previous
DAT,1,4,NREM,21525,-1.6639147325237034,True,previous
DAT,1,4,REM,2915,-0.3270083051801543,True,previous
DAT,1,4,WAKE,5700,-1.5988697165935308,True,previous
VGAT,2,1,NREM,16585,0.7276706832282162,True,previous
VGAT,2,1,REM,2210,2.228528855718637,True,previous
VGAT,2,1,WAKE,14125,0.5926333738022829,True,previous
VGAT,2,2,NREM,15940,-0.5623777145959878,True,previous
VGAT,2,2,REM,2130,-0.0782739118389934,True,previous
VGAT,2,2,WAKE,11200,-0.4721827507119573,True,previous
VGAT,2,3,NREM,15880,-0.5749438610654712,True,previous
VGAT,2,3,REM,1870,1.16578213641409,True,previous
VGAT,2,3,WAKE,11850,-0.7091433604773208,True,previous
VGAT,2,4,NREM,13795,-0.97992030846388,True,previous
VGAT,2,4,REM,2480,-0.1397206652212945,True,previous
VGAT,2,4,WAKE,13235,-1.1980524767883205,True,previous
VGAT,3,1,NREM,17165,0.7783016354256798,True,previous
VGAT,3,1,REM,1360,0.176489173136227,True,previous
VGAT,3,1,WAKE,7535,1.3845060702164176,True,previous
VGAT,3,2,NREM,17735,-0.5642778161464431,True,previous
VGAT,3,2,REM,2435,-0.005584364233314,True,previous
VGAT,3,2,WAKE,12200,-1.1604781169279283,True,previous
VGAT,3,3,NREM,23185,-0.5234811816425816,True,previous
VGAT,3,3,REM,2490,1.1191845018163793,True,previous
VGAT,3,3,WAKE,3995,-1.2290778930357456,True,previous
VGAT,3,4,NREM,21650,-0.3875671739433622,True,previous
VGAT,3,4,REM,2630,1.530526050056961,True,previous
VGAT,3,4,WAKE,4690,-1.1185408847222922,True,previous
VGAT,4,1,NREM,16035,-0.1315821879297795,True,previous
VGAT,4,1,REM,1930,2.282093354258945,True,previous
VGAT,4,1,WAKE,10755,-0.1014425601885185,True,previous
VGAT,4,2,NREM,16410,-0.8195720839737657,True,previous
VGAT,4,2,REM,1440,0.8876581478983621,True,previous
VGAT,4,2,WAKE,12610,-0.4184295234128864,True,previous
VGAT,4,3,NREM,21200,-0.8805511964232027,True,previous
VGAT,4,3,REM,2450,0.7072259333549833,True,previous
VGAT,4,3,WAKE,9550,-1.0968101468281182,True,previous
VGAT,4,4,NREM,22585,-0.6369770039148861,True,previous
VGAT,4,4,REM,2485,0.8864158028624136,True,previous
VGAT,4,4,WAKE,11195,-0.6780285357035506,True,previous
VGAT,5,1,NREM,15450,0.6017939587258095,True,previous
VGAT,5,1,REM,1975,0.8999652563847785,True,previous
VGAT,5,1,WAKE,12835,0.0013668541512144,True,previous
VGAT,5,2,NREM,16395,0.1917813227522744,True,previous
VGAT,5,2,REM,1550,1.6388787709007997,True,previous
VGAT,5,2,WAKE,12485,0.6638487810086456,True,previous
VGAT,5,3,NREM,6135,-0.1916456579366943,True,previous
VGAT,5,3,REM,1440,-0.5511576145883955,True,previous
VGAT,5,3,WAKE,7855,0.298679335357128,True,previous
VGAT,5,4,NREM,22735,-1.7398253399856318,True,previous
VGAT,5,4,REM,3020,-0.0227971296838098,True,previous
VGAT,5,4,WAKE,4315,-1.7908885370861198,True,previous
